00138AB3ED7A8C058825782A00740AE4&count=5;AL'S GOURMET FALAFEL;181 LePage Road;
8916ACD91B1C37A2882569B7000CE8EF&count=5;ROYAL ATHLETIC PARK,BEER CONCESSION;1014 Caledonia Avenue;
893C1F9CC89A4073882573A2005EBCAB&count=5;HECKLERS BAR & GRILL (BAR);123 Gorge Road East;
8945C743464E59E4882569B7000CE5A8&count=5;SUBWAY;104 1420 Quadra Street;
895C57B43FF089DA882569B7000CE27A&count=5;GALLOPING GOOSE SAUSAGE, MOBILE;4484 Lindholm Road;
898BC2D6C4A0D2A5882578A8007B5A54&count=5;AWESOME COFFEE;717 Douglas Street;
8A71ADDDF76A136C88256A5E00674466&count=5;SUNRISE OF VICTORIA;920 Humboldt Street;
8AD4D113817BE5AE882569B7000CE8ED&count=5;CAMELOT; 455 Kingston Street;
8AEA8198E9AADAAD88257AA7006F9513&count=5;O'BEANS CAFE;1609 Fort Street;
8B030C3FC3557389882569B7000CE85B&count=5;MARKET ON YATES, BAKERY;903 Yates Street;
8B69571335F531F3882569B7000CE8AC&count=5;JAMES BAY COMMUNITY PROJECT;547 Michigan Street;
8C670F88FE4F858288256A1900008CF0&count=5;CAKES ETC.;2821 Quesnel Street;
8C8014910C80881B882569B7000CE9B7&count=5;FERNWOOD COMMUNITY CENTRE, KITCHEN;1240 Gladstone Avenue;
8C82222DE224913088257A6000802AA9&count=5;STREET LEVEL ESPRESSO;714 Fort Street;
8CAA15437FA49453882576F7006192A3&count=5;PIG BBQ JOINT;1325 Blanshard Street;
8D6721398419C58F88257A08007370D1&count=5;FRY'S BAKERY;416 Craigflower Road;
8D8489E2F90ADD8B88257736007927A0&count=5;CARAVANA CAFÉ;2984 Jutland Road;
8DA8295F202D83508825717E007D7A4A&count=5;DOLCE VITA COFFEE ART;1213 Douglas Street;
8DB155D2FA31C4E3882569B7000CE2F8&count=5;BIRDCAGE CONFECTIONARY;501 Government Street;
8DB1DBC4631C7DAE882574CD005783C4&count=5;ABC COUNTRY RESTAURANT;2900 Douglas Street;
8E62F4085409028C88257750007FACAF&count=5;BIG BAD BOB'S;1961 Douglas Street;
8E635089118CFCA9882578BC00686A8D&count=5;SUB STOP SHOP;680 Gorge Road East;
8E6DB1998BADA1BA882571C5007C084C&count=5;SMITH'S PUB;777 Courtney Street;
8E81B9EC72548CC2882573CB0076C225&count=5;MR. TUBE STEAK #207;Vancouver Island Health Authority;
8F2A3378B5C67E44882569B7000CE51C&count=5;MAGGIE'S MARKET;1023 Cook Street;
8F347CA6B2A59C70882579F9006F6520&count=5;K&A CHINESE HERBS LTD.;614 Fisgard Street;
90018ED8EC9E4E9F882576BD0064BA5A&count=5;BOOSTER JUICE;102 - 240 Cook Street;
904BC6A469D6EDB988256BE30061F880&count=5;MILESTONE'S RESTAURANT; 812 Wharf Street;
9059049A9F1A9620882569B7000CE3FF&count=5;VICTORIA CURLING CLUB,  LOUNGE;1952 Quadra Street;
9087327407344C04882569B7000CE44D&count=5;WELLBURN'S, DELI;1058 Pandora Avenue;
9112B4EB790F13E688257B470067D221&count=5;DOG NATION #2;28 Bastion Square;
91FD2FDEB6386A6888256BBA00719873&count=5;DENNY'S RESTAURANT;3100 Douglas Street;
926F069D908198368825701400632DBC&count=5;AVALON RESTAURANT;1075 Fort Street;
928773C446B2532F88257640006FCB8C&count=5;PIZZERIA PRIMA STRADA;C 2960 Bridge Street;
928E7364756660C2882569B7000CE560&count=5;NICKELODEON DONUTS;7 - 626 Esquimalt Road;
92B270CC06D09FA5882569B7000CE676&count=5;JOAN CRESCENT MANOR;1045 Joan Crescent;
92C8F82EF5D81F4A882569B7000CE2AE&count=5;DAYSPRING SOYACRAFT CORPORATION;5 - 626 Esquimalt Road;
9302590C9EE0F9C48825730F00677A3A&count=5;A & W RESTAURANT;432 - 1150 Douglas Street;
93157757A6E78AAD882569B7000CE9B6&count=5;BLANSHARD COMMUNITY KITCHEN;901 Kings Road;
933A99986A7E96EC88257A8B00613233&count=5;JENNY MARIE'S CRACKER COMPANY - RED HEN GOURMET ARTISAN FOOD COLLECTIVE;800 Yates Street;
93611B96BAF51D60882573D3007C4E28&count=5;SPOONS DINER;2915 Douglas Street;
93671D64CA1F3B3D88257999005EE5C2&count=5;OCEAN GARDEN RESTAURANT;568 Fisgard Street;
937E0B561047B8FC88257439007745C8&count=5;PARRY PLACE;408 Parry Street;
94118A11E877A1A78825779A005E8448&count=5;SIZZLING TANDOOR RESTAURANT;637 Johnson Street;
9416598D4CFF5741882573F000783FE6&count=5;YELLOW CART;Vancouver Island Health Authority;
941AC52978F18C0188256CF40077E537&count=5;JAMES BAY FISH & CHIPS;211 Menzies Street;
944750C89CB6111D88257433005720C0&count=5;CHURCH OF OUR LORD;626 Blanshard Street;
9461F7D8D5C936D6882569B7000CE48B&count=5;SZECHUAN RESTAURANT;853 Caledonia Avenue;
95958591FC6BE157882569B7000CE4CF&count=5;SANTIAGO'S CAFE;660 Oswego Street;
96997760284CC4BC882574BF007452EB&count=5;HERNANDEZ (ON BAY);101 - 1600 Bay Street;
973359FD64373CD0882575A1006E6C34&count=5;UMI SUSHI EXPRESS - BAY CENTRE;2 - 1150 Douglas Street;
97B6F3EFC77D5BDE882579C2007177C2&count=5;MINATO EXPRESS SUSHI;E - 1109 McKenzie Street;
97BFE04B1C402D3B8825711F0076355A&count=5;OAK BAY SHELL;1945 Oak Bay Avenue;
97C8213763990051882569B7000CE6B6&count=5;SOFTIES ICE CREAM VAN;Vancouver Island Health Authority;
97D485054E469130882577B20057D16D&count=5;ROCK BAY LANDING - HOMELESS SHELTER;535 Ellice Street;
97D782AB17EF97B5882571990058B203&count=5;FAIRWAY MARKET #11;2625 Quadra Street;
98BE3CCC761DA20B882578B10068C257&count=5;DISCOVERY COFFEE;281 Menzies Street;
998522550F5F31148825757E00773C48&count=5;UPPER DECK SPORTS LOUNGE;229 Gorge Road East;
998AB2F70896DD9188257B6000748FAE&count=5;SALMONBERRY BISTRO;7725 Gordon River Road;
99AF9C69AD05B891882569B7000CE9FB&count=5;LIFESTYLE MARKETS, DELI;180 2950 Douglas Street;
9A0B1521F084AB5688257AE5005FCFE2&count=5;OLD VIC FISH & CHIPS;1316 Broad Street;
9A3B9660596DE5B888257AF6006F3403&count=5;TUTTI FRUTTI FROZEN YOGURT;123 - 3147 Douglas Street;
9A4312E7265C37EE88257B6000672176&count=5;MR. TUBE STEAK #174;2925 Douglas Street;
9B099B23B0CEA5FD882569B7000CEA0C&count=5;KIWANIS PAVILION; 3034 Cedar Hill Road;
9B2138A260216DC5882575A10071E1BA&count=5;POINT ELLICE HOUSE;2616 Pleasant Street;
9B45C75B730601818825717800646987&count=5;WAH LAI YUEN RESTAURANT & BAKERY;560 Fisgard Street;
9B7FA30FDE1D17E6882574C2005AF616&count=5;CRYSTAL GARDEN LOUNGE ;713 Douglas Street;
9BE41600FE4BC44A882570140064BCE6&count=5;HOPE KEY RESTAURANT;1313 Douglas Street;
9CAF663825FABFC6882577700062D53C&count=5;CAFFE FANTASTICO;B601 - 810 Humboldt Street;
9CC2E767B4054729882578960070C14E&count=5;MEXICAN HOUSE OF SPICE;2022 Douglas Street;
9CD1287A051ADDEB882569B7000CEA27&count=5;OAKLANDS ELEMENTARY, LUNCH PROGRAM;2827 Belmont Avenue;
9CE170EEBCABD4348825783700612F60&count=5;SANTE GLUTEN-FREE CAFE;2630 Quadra Street;
9D7682E2FD06264888257A71005AF9C1&count=5;TACO JUSTICE;1580 Cook Street;
9E171B633FC1C06A882573590075D79A&count=5;CHIBA SUSHI;2706 Government Street;
9E41297951D2C3A688256F1C007E7E4D&count=5;STARBUCKS COFFEE CO. #4545;425 Simcoe Street;
9E4BC6C1C82C48E1882569B7000CE2D2&count=5;EMBASSY MOTOR INN; 520 Menzies Street;
9E4CD3950EC73C0B882577070065D800&count=5;FRESH COAST FOOD PRODUCTIONS;1451 Fulford Ganges Road;
9E605562BDE3B5BA88257951006D047B&count=5;SPLASH POOLSIDE LOUNGE;1961 Douglas Street;
9E78EFADF3D1F3AD88257A9B0065AA43&count=5;PACIFIC RIM ORGANIC TEA COMPANY;1240 Yates Street;
9E9D1F221D1AEADC88257A8C005C2253&count=5;EFES RESTAURANT;788 Yates Street;
9EEAEB475D6E3A2488257020005CCC9B&count=5;FERRIS' OYSTER BAR;536 Yates Street;
9F3998794CCC616E88256F94007D03F0&count=5;SAVE ON FOODS MEMORIAL CENTRE - CONCESSION 3;1925 Blanshard Street;
9F9C990CADE67258882569B7000CE39F&count=5;CANADA SAFEWAY #80, DELI;1950 Foul Bay Road;
9FB886FA381FC987882577A600747FA6&count=5;THRIFTY FOODS, SUSHI BAR;475 Simcoe Street;
9FCDBE1EC068DB0388257A99006E9015&count=5;SINGING BOWL GRANOLA - RED HEN GOURMET ARTISAN FOOD COLLECTIVE;800 Yates Street;
9FE77763751925758825721000711507&count=5;ESSO HILLSIDE SERVICE;1700 Hillside Avenue;
9FF61300E45B22DD88257A4600780F63&count=5;SHATTERBOX COFFEE BAR;950 Yates Street;
A0099BF540ED04068825784E006C3795&count=5;DAVIDS TEA, #46;96 - 1644 Hillside Avenue;
A05B3F1D289AE9D088257A80006353C2&count=5;OLIVE THE SENSES;9 1701 Douglas Street;
A06BA12C0CC2E7368825791F0064360D&count=5;ABR STORE;1121 Blanshard Street;
A13B3A5051BF9C4E8825786F006ECFF9&count=5;TIM HORTON'S;2 2680 Blanshard Street;
A1616DF891802D2E882569B7000CE2C9&count=5;HERMANN'S JAZZ CLUB;753 View Street;
A17457F0E781D26C882569B7000CE4B8&count=5;SIAM THAI RESTAURANT;512 Fort Street;
A1ADDDD8D886145D88257486007E3CF8&count=5;BEACH ROCK CAFE;26 8177 West Coast Road;
A1B91AF4BFCE0756882569B7000CE32E&count=5;BOSTON PIZZA #005;10 797 Hillside Avenue;
A1F3C324659BE6568825791300735D64&count=5;OOH LA LA CUPCAKES;4 - 619 Broughton Street;
A26E279E2CDD1A2F88257156006F12F3&count=5;BUBBY ROSE'S BAKERY;1022 Cook Street;
A35A2B29859BFEE588257712007EBD4B&count=5;SARPINO'S PIZZERIA;2 1725 Cook Street;
A3F3BA7B8509BF64882569B7000CE95C&count=5;MCCALL BROS., RECEPTION ROOM;1400 Vancouver Street;
A3F89DDE435B9B13882578B9006F5ACD&count=5;FRUITION PALETAS;837 Fisgard Street;
A45B59554F8F704F8825719500735F91&count=5;STARBUCKS COFFEE CO. #4708;865 Yates Street;
A46EC075A4A0966A88257744005E25CC&count=5;LULLY'S;2280 Estevan Avenue;
A484A41130ED154788256F1600801E99&count=5;SANCTUARY YOUTH CENTRE;767 Humboldt Street;
A48F47343990327E882569B7000CE47A&count=5;THE GLENSHIEL; 606 Douglas Street;
A4B0D637E76BB6B8882573560078175B&count=5;SUN WAH RESTAURANT;1515 Cook Street;
A4B7D36BB3BAD14288256C00007C1EC0&count=5;CANOE BREW PUB MARINA;450 Swift Street;
A4BABAFEE3E80D4488256FF00075CB13&count=5;ROSS BAY PUB KITCHEN;7 1516 Fairfield Road;
A4DDCC38A9A6DB3688257A4F005B4840&count=5;THE HURRICANE;325 Fernwood Road;
A518D670C18E3C2B88257236007A3A6A&count=5;COBS BREAD;104A - 911 Yates Street;
A54021995BF31663882573A100748240&count=5;SAIGON HARBOUR RESTAURANT;1012 Blanshard Street;
A56D11E30596EA92882579D7007AE123&count=5;FIFTH ST WOODFIRED GRILL - BAR;1028 Hillside Avenue;
A5701ECA7C930F43882569B7000CE33A&count=5;FAN TAN CAFE;549 Fisgard Street;
A5EADA41E88C57FC882569B7000CE7C0&count=5;SAVE ON FOODS #973, DELI;100 - 172 Wilson Street;
A5F650610377E3378825796B00630E8C&count=5;MY BAR & GRILL;310 Gorge Road East;
A64AC461A5271945882569B7000CE68E&count=5;MR. TUBE STEAK #172 ;Usual Location: Special Events;
A687A446C664DC3E88257A21006FA53A&count=5;ZAZU;1028 Blanshard Street;
A6A946B454747123882569B7000CE2F6&count=5;UNION CLUB OF BRITISH COLUMBIA, LOUNGE;805 Gordon Street;
A6DE26C930B286A18825795100708CAE&count=5;SMOKEN BONES COOKSHACK;7 - 1701 Douglas Street;
A6E3387BE1F0409388257AF60076AE04&count=5;CANADA SAFEWAY #80 - TIM HORTONS;1950 Foul Bay Road;
A72728359717F88A88257A13007D03D7&count=5;FAIR FOOD SERVICES;1650 Eagle Way;
A78D6B866541559A882570FA006FC771&count=5;SUBWAY;100 - 1633 Hillside Avenue;
A7BD5709BBCB5220882576470060EB7E&count=5;FRESKO FINE FOODS;642 B Yates Street;
A856D349F78A25B388256D58005A3C69&count=5;WILLIE'S BAKERY & CAFE;537 Johnson Street;
A864EBB7ACD641C98825785A007F5703&count=5;KORYO KOREAN BARBEQUE;413 - 1150 Douglas Street;
A8980B7322A78F67882579760060A6A6&count=5;MIRAGE COFFEE;733 Yates Street;
A8F6644C2F114ED88825738A0069A33D&count=5;SUGAR ;858 Yates Street;
A902DFDBA72EBAE9882578CE007FA97B&count=5;THE LOVE PEROGY;5020 Lochside Drive;
A9748C70974A4A5088257799007AF6C4&count=5;YOKA'S COFFEE & HONEY;5 1046 Mason Street;
AA18B8C1B90DBC7888257439007AB77B&count=5;FLYING BLACK DOG MOBILE EATERY;61 Georgeson Bay Road;
AA1D445724118BC488256A240073BC93&count=5;VICTORIA HIGH SCHOOL CAFETERIA;1260 Grant Street;
AA685932B9BBEC1B882569F8007E5836&count=5;AEGEAN CAFE;731B Fort Street;
AA6AEB1EC762F66388256F8E0078B4C5&count=5;ABBEYFIELD HERITAGE HOUSE;507 Government Street;
AA96198B5DFC599888256A5C007BC046&count=5;MOUNT SAINT MARY HOSPITAL;861 Fairfield Road;
AAAAB8A77A2C6D90882579A6006C186C&count=5;WARYN'S WIENERS;7874 Lochside Drive;
AACE4546213BAA7A882579B20081E3A5&count=5;THE CLAY PIGEON;1002 Blanshard Street;
AB166B4B1823DA02882569B7000CE844&count=5;CARIBBEAN VILLAGE;C 2646 Quadra Street;
AB993C8AEBFCAA368825701A005C45BD&count=5;BUBBLE TEA ON THE RUN;812 Wharf Street;
ABC96D018CEDA50D88257355005D629D&count=5;SOUTH MALAHAT 4-H DAIRY BAR;1528 Stellys X Road;
ABF9AC4EACE4D652882569B7000CE2D1&count=5;DUTCH BAKERY COFFEE SHOP;718 Fort Street;
AC8962D3D36CA20E8825738C0065B880&count=5;SERIOUS COFFEE;104 - 230 Cook Street;
AD20E79AE318849388257AB600767AD1&count=5;ROCKY MOUNTAIN CHOCOLATE FACTORY;909 Government Street;
AD4A2E3937A9CE94882579F8005ADE35&count=5;WHARFSIDE SEAFOOD GRILLE;1208 Wharf Street;
AD6429014327190388257352006F433F&count=5;THRIFTY FOODS #1, FISH;1590 Fairfield Road;
AD7E42A9010011D788257B360068F3D5&count=5;EXTREME OUTREACH SOCIETY #2;999 McKenzie Avenue;
ADBDB5709127D2EF882579CA005DFED3&count=5;RICE TALES;FC-9 3147 Douglas Street;
ADE86E3E08C3A709882569B7000CE8C0&count=5;FRANK'S HONEYBUN CAFE;605 Yates Street;
AE1DA635DB96B9E088256E7B00717594&count=5;ST. NICHOLAS UKRAINIAN CATHOLIC CHURCH;1110 Caledonia Avenue;
AE435F8AF9FACBB7882575600001E264&count=5;DELICADO'S;B 1911 Oak Bay Avenue;
AE4790DF810A3B2B882569B7000CEA12&count=5;HART HOUSE REST HOME; 1961 Fairfield Road;
AEB8DCEE279BDD1288257951007B9605&count=5;BOWS & ARROWS COFFEE ROASTERS;483 Garbally Road;
AEF23DD52E7C8631882569B7000CE398&count=5;ARCADE GROCERY AND CONFECTIONARY;1279 Pandora Avenue;
AF0188BCC2CE704D88257895005A796B&count=5;VOODOO COFFEE;2950 Douglas Street;
AF35E7A49D7A6BD4882579E2006E0F1D&count=5;CHORIZO & CO. DELICATESSEN;807 Fort Street;
AF4D1BC10EC62CB2882575740073BBD7&count=5;I KYU NOODLES;564 Fisgard Street;
AF639B446A0A674F88257864006334E0&count=5;LA TEA AH! TEA HOUSE;774 Fort Street;
AF6C64C77DB727558825746C007D2350&count=5;FOOTPRINT FOODS;712 Discovery Street;
AF6CEDB62BA160A488257AF6005D9CFE&count=5;MARBLE SLAB CREAMERY;200C - 1150 Douglas Street;
AF76DED0200D1E4C8825775F00730CD8&count=5;SWEET PEAS FINE FOODS;777 Douglas Street;
AFD7CD49BCE1FFAF88257706005BF7A4&count=5;THE SODA SHOPPE;801 Government Street;
B0ADCF73D0D9D85F882569B7000CE2CB&count=5;CAMILLE'S RESTAURANT;45 Bastion Square;
B107C62BFDFA3E4C88257076007E47A2&count=5;SAVE ON FOODS MEMORIAL CENTRE SERVERY;1925 Blanshard Street;
B15DC62A945FB2BA882570F9005BB21F&count=5;BOOSTER JUICE;110 - 176 Wilson Street;
B15F81D1F233C7BC882573A200657365&count=5;REFLECTIONS LOUNGE;123 Gorge Road East;
B168A3E9E3AC022A882573680070792F&count=5;KAZ JAPANESE RESTAURANT;100 - 1619 Store Street;
B1DBC3465408C765882569B7000CE55C&count=5;BEAN AROUND THE WORLD;533 Fisgard Street;
B1DED5A0DF72516B882571CB007E63B1&count=5;HABIT COFFEE & CULTURE;522 Pandora Avenue;
B20CD048C2120DEB88256A8600757FE4&count=5;VICTORIA CONFERENCE CENTRE;720 Douglas Street;
B232BD579CEC5FD08825750600647197&count=5;FERNWOOD COFFEE COMPANY;5 1115 North Park Street;
B2BA27659BED2CC48825740F007C7D4A&count=5;CAFE BLISS;A 556 Pandora Avenue;
B32F1EE6CE8E9CA488256CDE007E07F2&count=5;TOUCH LOUNGE;751 View Street;
B33060AFC127202A882569B7000CE793&count=5;CRAIGDARROCH CARE HOME; 1048 Craigdarroch Road;
B3848BF31C73513D88257A2A005A6B6E&count=5;GROCERY PLUS;1126 - 1128 Quadra Street;
B392F842829041B488256AD2005C0300&count=5;NPC TRUST UNIT 32;850 Burdett Avenue;
B3AC3EDF13AB3BD188256E910067380D&count=5;OH GELATO;1013 Government Street;
B403F0FBAD3B746A88257878005B0D07&count=5;FRUITION PALETAS;837 Fisgard Street;
B4CBDE794BBE541C88256BF4007A848E&count=5;RED KETTLE RESTAURANT;2630 Bridge Street;
B4EDC3AC9CCE6524882569B7000CE8CB&count=5;THE BUBBLE TEA PLACE;532 Fisgard Street;
B57927C7643CD7B488256F270076E5D6&count=5;VIHA ROYAL JUBILEE PATIENT #65108 - FOOD PRODUCTION & FACTORY;1952 Bay Street;
B59D8E36F9E638BE88257199005D069F&count=5;FAIRWAY MARKET #11 MEAT;2625 Quadra Street;
B59ED07571F7FB968825770A00718791&count=5;AUBERGINE FOODS;1308 Gladstone Avenue;
B690CA810BFC93F288257728006090D0&count=5;BARON BURGERS;9210 Rideau Avenue;
B69745B729C53ACD882569B7000CE4A1&count=5;GARRICKS HEAD PUB;1140 Government Street;
B6ED7A7206F35BD0882571250067893E&count=5;TACO TIME;942 Hillside Avenue;
B757D13C3093B9B0882569B7000CE526&count=5;9 ONE 9;919 Douglas Street;
B7E566C7AB6DD08A882569B7000CE376&count=5;LOY SING MEAT MARKET & DELI;554 Fisgard Street;
B832483A2965BC5188256E7B007DE782&count=5;STYLES APARTMENTS #23;1230 Styles Street;
B849DBFB8EAE111A882569B7000CE562&count=5;OCEANIC FOOD MARKET;810 Catherine Street;
B88818B065B295B388257352007236C4&count=5;THRIFTY FOODS #1, MEAT;1590 Fairfield Road;
B8A70C29A55F4C29882569B7000CE736&count=5;ROYAL THEATRE, LOUNGE;805 Broughton Street;
B8B669163407AAD58825736800757C77&count=5;TAI SANG GROCERY;1717 Government Street;
B9732CA498B4B4518825783B007B3C28&count=5;FATBURGER;1209 Douglas Street;
B9C756BF93B57A47882578C6006A04CE&count=5;BIG WHEEL BURGER;341 Cook Street;
BA61E43E8A1093A58825730E006613E1&count=5;A & W RESTAURANT;208 1644 Hillside Avenue;
BAB031C11E7A52698825798E006908B7&count=5;CLEOPATRA HOOKAH LOUNGE;101 - 732 Broughton Street;
BABC0E735972ADA1882569B7000CE0BB&count=5;LORRAINE'S KITCHEN;Usual Location: Salt Spring Island Saturday Market;
BB31650803F8E96E88257314005CD072&count=5;RED FISH BLUE FISH;1006 Wharf Street;
BB58B4A7A789D4DF88257ABF00679203&count=5;VICTORIA WEST COMMUNITY CENTRE;521 Craigflower Road;
BB8F4DBB6DCB3B0288256C4800619132&count=5;SPIRAL CAFE;418 Craigflower Road;
BC931D8682F67FBA882571960072B425&count=5;MRS. VANELLI'S;433 - 1150 Douglas Street;
BCA0930E4501A2D7882569B7000CE3A4&count=5;FAT CHOY FOOD MARKET;1395 Hillside Avenue;
BCDFE7EA1F4EAE0D882569B7000CE364&count=5;CINEMA CONVENIENCE STORE;762 Yates Street;
BCF38911F87DAD448825771B006570CC&count=5;SANDWICH CORNER CAFE & BISTRO;C 2960 Jutland Road;
BCFB093B61915A37882569B7000CE9F2&count=5;PARKWOOD PLACE RETIREMENT RESIDENCE;3051 Shelbourne Street;
BD22C05CCDE3A71C882569B7000CE4DE&count=5;REHAB NIGHTCLUB;502 Discovery Street;
BD96041092E643A7882571A300717C89&count=5;LUCKY DOLLAR FOODS;148 Superior Street;
BDD2FD6C064DC405882569B7000CE32F&count=5;CAFE MEXICO;130 560 Johnson Street;
BDF2B84B39C88A69882569B7000CE382&count=5;VICTORIA REGENT HOTEL;1234 Wharf Street;
BE187F43076CB1028825787300596F6F&count=5;HILARY'S CHEESE ON FORT;1034 Fort Street;
BE442E891FB07363882577FA006B18D3&count=5;GLADDIS GHEECORN;6445 Gliddon Road;
BE9AB0E1BA4A34C588256BDF007D62D6&count=5;TEA L C  CAFE;2410 Lee Avenue;
BFC0EA9A9FA647CB88257B2500706D88&count=5;BOUTIQUE LOUNGE;1318 Broad Street;
BFDC9EDD862E2828882575660080BF65&count=5;PICNIC;103 - 506 Fort Street;
C0334F5805FFCF1588256FC0007A80DE&count=5;SAVE ON FOODS MEMORIAL CENTRE - MAIN KITCHEN;1925 Blanshard Street;
C04FA6D806874672882576B9006B762B&count=5;MCDONALD'S;102 1581 Hillside Avenue;
C053E0CB0A918075882569B7000CE8AA&count=5;ROOF TOP KITCHEN;919 Douglas Street;
C0A281F00C5738FA8825770A00806109&count=5;MEE WAH RESTAURANT;A 1950 Oak Bay Avenue;
C0A7142B9593A3B4882569B7000CE397&count=5;ADAM'S LOW COST;1446 Haultain Street;
C0BEE1ADCAC9EC2B882569B7000CE4A8&count=5;SUBWAY;239 Menzies Street;
C10F9EA6F0C2AAF18825798F00839DD6&count=5;EL GUAPO CHORIZO GRILL;560 Johnson Street;
C13B864306C1CED08825796B0063859F&count=5;MY BAR & GRILL, LOUNGE;310 Gorge Road East;
C13E1F852BDAF9CD88256DB00060D25E&count=5;VICTORIA EVENT CENTRE;1415 Broad Street;
C16461429636809C88257853005D52E5&count=5;7-ELEVEN #34998;811 Bay Street;
C1B5661D772BA18A882576F80067CDB7&count=5;PUERTO VALLARTA AMIGOS;1010 Arcadia Street;
C2807F9DD1E84BDB88256C2400760E06&count=5;GALLOPING GOOSE SAUSAGE II;Capital Regional District;
C2F5DEEB3D19486F88256B560066611D&count=5;J & J WONTON NOODLE HOUSE; 1012 Fort Street;
C38373241ACC06AC88257018005E8E21&count=5;SNOW STORM SHAVED ICE;5187 Sooke Road;
C397939193D6C9EB882576B700831235&count=5;SIZZLING WOK;# 434 1150 Douglas Street;
C3A7887019EAABA4882569B7000CE4A5&count=5;FISGARD MARKET;552 Fisgard Street;
C3E07DEBF8533D2388256E5C00676D9E&count=5;TIM HORTONS;FF201 - 1644 Hillside Avenue;
C405E9DDFCE05A58882569B7000CE590&count=5;CAFE BRIO;944 Fort Street;
C417AA94F1CB93D5882570E000744ED3&count=5;HILLSIDE TERRACE;1460 Hillside Avenue;
C4299D6512C02F10882571060077FB79&count=5;BENTO NOUVEAU;670 Fort Street;
C475B593E8ADC3DD882575D80079DEC8&count=5;FAIRFIELD UNITED CHURCH;1303 Fairfield Road;
C63A502714431D6C882569B7000CE5D8&count=5;TOOKS ON COOK;1031 Cook Street;
C6E736C8574A814E88257107006D864F&count=5;O BISTRO;500 Oswego Street;
C7075329A5BE4EA4882569B7000CE480&count=5;CANADA SAFEWAY #80, CHINA EXPRESS;1950 Foul Bay Road;
C73DD18015D6BB158825728B00671241&count=5;BAGELS ON BROAD;1294 Broad Street;
C7A9E90E1191209288257AD700815024&count=5;MARZANO PIZZA;Unit E2 456 Gorge Road East;
C8B26634DCAD5F2E882569B7000CE358&count=5;GREEN CUISINE;5 - 560 Johnson Street;
C8D14B3F82CB9C83882569B7000CE8D1&count=5;LUCKY BAR;517 Yates Street;
C90841B6FDF0090F882578AA007405A4&count=5;THE BAY - BON APPETIT #63182;1 - 1150 Douglas Street;
C922D331526F8B99882571FC00566BA8&count=5;PIZZA HUT;182 - 911 Yates Street;
C99B314F501806BA88256B0600682E8D&count=5;BRASSERIE L'ECOLE;1715 Government Street;
CABBC843A92150EF882574F300641577&count=5;THE PINK BICYCLE GOURMET BURGER JOINT;1008 Blanshard Street;
CAD52B5C26B8A604882577C7007107E2&count=5;ORANGE DUCK ICE CREAM;A17 - 633 Courtney Street;
CAF43FD2B5326EB9882574100074FAEB&count=5;OUR PLACE SOCIETY, NUTRITION BAR;919 Pandora Avenue;
CAFA4243F61A3BC6882569B7000CE3D6&count=5;THE BLUE FOX CAFE;101 - 919 Fort Street;
CB1AF4253C9EB45488256AA2007CCB7A&count=5;SPECIAL TEAS;803 Fort Street;
CB390841DAB3DD1188257B3B0060C4C1&count=5;PIXIE CHICKS SPICES;104 - 2612 Bridge Street;
CBB2F0E3E2E06A6C882576FF0062B473&count=5;GREEN LEAF VIETNAMESE BISTRO;1684 Douglas Street;
CBBCB01B6F80EE4088257AC2006981B9&count=5;WHIMSICAL PRESERVES - RED HEN GOURMET ARTISAN FOOD COLLECTIVE;800 Yates Street;
CBC5C9A89A1643C588256B660082650C&count=5;MAC'S CONVENIENCE STORE;324 Cook Street;
CC6460A5AE939DCC88257AFC00010459&count=5;AMBROSIA CENTRE;638 Fisgard Street;
CC718F2AF3D270BB8825711B006DE2A9&count=5;EARL'S RESTAURANT;100 - 1150 Douglas Street;
CC94DCFB92D9858A88257AF30082416B&count=5;TARTAN TOQUE;1507 Pandora Avenue;
CCCDDC6878190399882578860061C08C&count=5;RICA SALSA;1109 McKenzie Street;
CD57AAED5370BFE088257B5C005F9AA2&count=5;THE LUNCH KIT;1310 Douglas Street;
CD90B36D0DF5233C88257B6300736D12&count=5;VICTORIA FOOD & FLORIST;451 Cook Street;
CDB00734A38C06B188257815006B9963&count=5;QUIZNO'S SUB;172 Wilson Street;
CE06500ACA5F36FE882569B7000CE42D&count=5;TRAFALGAR/PRO PATRIA BRANCH #292;411 Gorge Road East;
CE0B667E6C8C7EA98825770500606781&count=5;CHIP TRUCK;Capital Regional District;
CE16A7B87F62EF12882572DB00565130&count=5;DELICADOS;799 Fort Street;
CE1DE141EA25965A882569B7000CEA0A&count=5;DOUGLAS CARE COMMUNITY;657 Niagara Street;
CE6D1BEF120C63F7882569B7000CE817&count=5;A.K. ENTERPRISES, A TOUCH OF SSI;10025 Galaran Road;
CEB852D8270462F1882575F60076A9E6&count=5;PIZZERIA PRIMA STRADA;2960C Bridge Street;
CEFCEF736874C9E088257870005B0157&count=5;JUICED FOR YOU;811 St. Charles Street;
CF56F9473EE178C9882573F600655495&count=5;THE BARD & BANKER PUB;208 1022 Government Street;
CFB9AC861F5B4C10882572C30061ED65&count=5;VICTORIA ICE CREAM & FUDGE FACTORY;905 Government Street;
D0364E44C327CA6A88256DA3007E3148&count=5;COMMUNITY CENTRE OF HUNGARIAN SOCIETY OF VICTORIA;476 Bay Street;
